review_text,rating,review_date,app_version,likes,app_name,category
All Good 👍,5,03-03-2026 21:54,19.3.9,0,Zomato,Food Delivery
Zomato is a fantastic food delivery app to use in Surendranagar,5,03-03-2026 21:50,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 21:47,,0,Zomato,Food Delivery
Great,5,03-03-2026 21:47,19.4.2,0,Zomato,Food Delivery
good than Swiggy,5,03-03-2026 21:46,19.4.2,0,Zomato,Food Delivery
amazing experience and best service,5,03-03-2026 21:45,19.4.2,0,Zomato,Food Delivery
great,5,03-03-2026 21:45,19.4.2,0,Zomato,Food Delivery
best,5,03-03-2026 21:45,19.4.2,0,Zomato,Food Delivery
very fast and nice service,5,03-03-2026 21:42,,0,Zomato,Food Delivery
Indian Love's It,5,03-03-2026 21:42,19.3.9,0,Zomato,Food Delivery
pathetic service. even a order from nearby restaurant takes more than an hour. they don't have enough people to deliver orders,1,03-03-2026 21:41,19.3.9,0,Zomato,Food Delivery
very good,5,03-03-2026 21:41,19.4.2,0,Zomato,Food Delivery
good experience,4,03-03-2026 21:39,19.4.2,0,Zomato,Food Delivery
Best of all,5,03-03-2026 21:39,19.4.2,0,Zomato,Food Delivery
"I am disappointed with my recent order. I placed the order well in advance, keeping sufficient time before my train reached station. Despite proper planning from my side, the food was not delivered at all. Now, i am travelling and left without any food on the train. A simple refund does not compensate for the inconvenience, stress, and discomfort caused. Being stranded hungry during a journey because of service failure is unacceptable. I expect Zomato to take responsibility",1,03-03-2026 21:38,19.4.2,0,Zomato,Food Delivery
express delivery! zoooom 17 min on app my boy reached in 6❤️❤️❤️❤️❤️❤️❤️,5,03-03-2026 21:38,19.4.2,0,Zomato,Food Delivery
very good aap,5,03-03-2026 21:35,19.3.9,0,Zomato,Food Delivery
nice app,5,03-03-2026 21:34,19.4.2,0,Zomato,Food Delivery
"The food was delivered to the wrong person. I spent a significant amount of time placing and waiting for this order, and I am very disappointed with both the service and the customer support provided.",1,03-03-2026 21:33,19.3.9,0,Zomato,Food Delivery
superb,5,03-03-2026 21:33,19.3.9,0,Zomato,Food Delivery
Nice service,5,03-03-2026 21:29,19.3.9,0,Zomato,Food Delivery
awesome 👍,5,03-03-2026 21:28,19.4.2,0,Zomato,Food Delivery
great experience,5,03-03-2026 21:27,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 21:24,19.3.7,0,Zomato,Food Delivery
Good,5,03-03-2026 21:23,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 21:23,,0,Zomato,Food Delivery
very good,5,03-03-2026 21:21,19.4.2,0,Zomato,Food Delivery
Nice 👍,5,03-03-2026 21:21,19.4.2,0,Zomato,Food Delivery
Nice service,5,03-03-2026 21:21,19.3.9,0,Zomato,Food Delivery
very helpful,5,03-03-2026 21:20,,0,Zomato,Food Delivery
food taste is ultra and 5star rating in zomato it's me,5,03-03-2026 21:19,19.3.9,0,Zomato,Food Delivery
nice,5,03-03-2026 21:17,19.3.9,0,Zomato,Food Delivery
👌🏻🤞🏻,5,03-03-2026 21:17,,0,Zomato,Food Delivery
its a very good food delivery app and cheap at the same time,5,03-03-2026 21:17,19.3.7,0,Zomato,Food Delivery
food is good but sometimes food and the delivery boy do to delay to being food so zomato should work on it and bring good offers too😊,4,03-03-2026 21:17,19.4.2,0,Zomato,Food Delivery
best,5,03-03-2026 21:16,19.4.2,0,Zomato,Food Delivery
Good,5,03-03-2026 21:15,19.4.2,0,Zomato,Food Delivery
super 👌 👍,5,03-03-2026 21:15,19.4.2,0,Zomato,Food Delivery
smooth application and easy to use but charges are high,4,03-03-2026 21:15,19.4.2,0,Zomato,Food Delivery
it's very good,5,03-03-2026 21:14,19.4.2,0,Zomato,Food Delivery
Gudhabalaga food delivery app,5,03-03-2026 21:14,19.4.2,0,Zomato,Food Delivery
excellent,5,03-03-2026 21:11,,0,Zomato,Food Delivery
good,5,03-03-2026 21:11,19.4.2,0,Zomato,Food Delivery
excellent,5,03-03-2026 21:08,19.4.2,0,Zomato,Food Delivery
better one,3,03-03-2026 21:08,19.3.4,0,Zomato,Food Delivery
Nice and Good served ❣️,5,03-03-2026 21:06,,0,Zomato,Food Delivery
nice,5,03-03-2026 21:05,19.3.9,0,Zomato,Food Delivery
good service,5,03-03-2026 21:03,19.4.2,0,Zomato,Food Delivery
Good,5,03-03-2026 21:03,19.4.2,0,Zomato,Food Delivery
good,4,03-03-2026 21:03,19.3.7,0,Zomato,Food Delivery
ok nice,5,03-03-2026 21:02,,0,Zomato,Food Delivery
Swiggy is better then zomato,1,03-03-2026 21:01,,0,Zomato,Food Delivery
nice,5,03-03-2026 21:01,19.4.2,0,Zomato,Food Delivery
very good,5,03-03-2026 20:59,,0,Zomato,Food Delivery
good,4,03-03-2026 20:59,19.4.2,0,Zomato,Food Delivery
worst app. now a days every order is clubbed with another one and lots of delay beyond the expected time. i am uninstalling this app.,1,03-03-2026 20:58,19.3.1,0,Zomato,Food Delivery
"very nice, and huge discount",5,03-03-2026 20:58,19.4.2,0,Zomato,Food Delivery
it is very awsome...,5,03-03-2026 20:57,19.3.7,0,Zomato,Food Delivery
Berry bad no performance developer kon tha,1,03-03-2026 20:56,,0,Zomato,Food Delivery
good 👍🏼,5,03-03-2026 20:56,19.3.9,0,Zomato,Food Delivery
delivered before time..... thanks 👍,5,03-03-2026 20:54,19.4.2,0,Zomato,Food Delivery
excellent,5,03-03-2026 20:54,19.3.9,0,Zomato,Food Delivery
giod,5,03-03-2026 20:53,19.4.2,0,Zomato,Food Delivery
good I love kabhi pijja khilaye free .ai,5,03-03-2026 20:51,19.3.1,0,Zomato,Food Delivery
Not able to download the invoice. I have to claim the amount but I am not able to download the invoice at all. the worst.,2,03-03-2026 20:51,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 20:50,19.3.9,0,Zomato,Food Delivery
very good,5,03-03-2026 20:50,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 20:50,19.3.9,0,Zomato,Food Delivery
fast service,5,03-03-2026 20:49,19.3.9,0,Zomato,Food Delivery
Very good Experience 👍👍,5,03-03-2026 20:49,19.3.9,0,Zomato,Food Delivery
The agents keeps the punctuality very well and delivers food without damage,5,03-03-2026 20:47,19.3.9,0,Zomato,Food Delivery
😋😋😋,5,03-03-2026 20:46,19.3.9,0,Zomato,Food Delivery
"best experience in everyway.....best offers,best service and timely delivery,🤗",5,03-03-2026 20:46,19.3.4,0,Zomato,Food Delivery
student chef Nisha's food is very nice,5,03-03-2026 20:45,19.3.9,0,Zomato,Food Delivery
has good choices...,4,03-03-2026 20:43,19.3.9,0,Zomato,Food Delivery
ok,5,03-03-2026 20:42,19.3.9,0,Zomato,Food Delivery
Good girl,5,03-03-2026 20:42,19.4.2,0,Zomato,Food Delivery
super,5,03-03-2026 20:41,19.4.2,0,Zomato,Food Delivery
overall goodd,4,03-03-2026 20:41,,0,Zomato,Food Delivery
very good for food and best deals,5,03-03-2026 20:40,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 20:39,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 20:39,19.3.9,0,Zomato,Food Delivery
too gud♥️,3,03-03-2026 20:39,19.3.7,0,Zomato,Food Delivery
In one hotel you show in your application you must show all varieties in that hotel. But you show some items only. Why this happened.,4,03-03-2026 20:38,19.4.2,0,Zomato,Food Delivery
very easy to use app,5,03-03-2026 20:37,19.3.9,0,Zomato,Food Delivery
nice,5,03-03-2026 20:37,19.3.9,0,Zomato,Food Delivery
I like the service,5,03-03-2026 20:36,19.3.9,0,Zomato,Food Delivery
Great offers,5,03-03-2026 20:36,19.3.9,0,Zomato,Food Delivery
"worst customer service,it's not zomato it's delay delay.......",1,03-03-2026 20:34,19.3.7,0,Zomato,Food Delivery
👍such a delicious food♥️,5,03-03-2026 20:34,19.3.9,0,Zomato,Food Delivery
